stat,sample,category,side,bucket,clusters,events,losing,contracts,rows,mean_c,se_c,t
A,confirmation,Crypto,long_yes,0,129,8330,86.0,155335527.96000075,1477423.0,0.9731078025942385,0.7022681231225302,1.3856642079487536
A,exploration,Crypto,long_yes,0,131,4070,101.0,23049046.42,215180.0,-0.6835107497583848,0.49956117387064003,-1.368222322928919
A,all,Crypto,long_yes,1,260,14226,164.0,160899842.5200004,1813984.0,-0.18971857702535777,1.210289000207845,-0.15675477261445578
A,confirmation,Crypto,long_yes,1,132,9417,76.0,138511969.55000043,1512443.0,0.12749064739944208,1.387700646728055,0.09187186566500619
A,exploration,Crypto,long_yes,1,131,4810,89.0,22387872.970000003,301541.0,-2.1522665374047802,1.3999532782363855,-1.5373845476587147
A,all,Crypto,long_yes,2,264,17859,134.0,392999104.019999,4522714.0,0.6690902975357077,1.2189443698950788,0.54890962546002
A,confirmation,Crypto,long_yes,2,136,11855,64.0,349669976.84999907,3826430.0,0.709864141371474,1.3516293400251318,0.5251914266364438
A,exploration,Crypto,long_yes,2,133,6004,70.0,43329127.16999999,696284.0,0.3400416884049527,1.924084694835449,0.17672906463924323
A,all,Crypto,long_yes,3,260,12902,92.0,177226174.33000064,1846491.0,1.1934645845040608,1.2253381247979245,0.9739879632822818
A,confirmation,Crypto,long_yes,3,131,8604,49.0,154783133.85000068,1546773.0,1.2905291472750315,1.3878336643422522,0.9298874789052354
A,exploration,Crypto,long_yes,3,131,4298,43.0,22443040.479999993,299718.0,0.5240384777847196,1.5264468702980618,0.34330607109986944
A,all,Crypto,long_yes,4,259,11118,54.0,197859206.85000038,1686891.0,0.48576742651083504,0.40276542319150194,1.2060802604693013
A,confirmation,Crypto,long_yes,4,131,7611,29.0,176543807.46000034,1472094.0,0.439034695983663,0.446846436122405,0.9825180654756255
A,exploration,Crypto,long_yes,4,130,3507,25.0,21315399.389999997,214797.0,0.8728291009986141,0.5984781418225951,1.4584143346330334
A,all,Crypto,short_yes,0,259,12495,60.0,221744646.93000033,1822447.0,-0.24153585459407134,0.6004022356816763,-0.4022900652923781
A,confirmation,Crypto,short_yes,0,129,8361,36.0,195298476.26000023,1594669.0,-0.41551122742857644,0.677326396425418,-0.6134578980258735
A,exploration,Crypto,short_yes,0,131,4136,24.0,26446170.67,227778.0,1.0432295522890969,0.5105461927517975,2.0433597725333814
A,all,Crypto,short_yes,1,262,13972,97.0,200709138.87000087,2059417.0,0.2691795447395779,1.168629466003147,0.2303378038722609
A,confirmation,Crypto,short_yes,1,132,9092,59.0,172477767.88000092,1726472.0,0.10274781971192537,1.331434371896592,0.07717077302545818
A,exploration,Crypto,short_yes,1,133,4881,40.0,28231370.99,332945.0,1.2859835974848604,1.7305068794957135,0.7431253887066941
A,all,Crypto,short_yes,2,265,18220,130.0,435755475.0199981,5061013.0,-0.32110025190979324,1.299444039538517,-0.2471058715416698
A,confirmation,Crypto,short_yes,2,136,11926,71.0,382937008.1299981,4263584.0,-0.5129864386554818,1.4552133230932518,-0.35251631531592914
A,exploration,Crypto,short_yes,2,134,6294,64.0,52818466.889999986,797429.0,1.0700859483049616,2.0019580030325868,0.5345196785766656
A,all,Crypto,short_yes,3,263,14267,166.0,157286250.2000003,1827462.0,-1.1309210140353279,1.3157768933589156,-0.8595081884652287
A,confirmation,Crypto,short_yes,3,136,9406,87.0,133988246.47000025,1504277.0,-1.3722841107646473,1.5231389088549454,-0.9009579512326248
A,exploration,Crypto,short_yes,3,132,4861,84.0,23298003.73,323185.0,0.25717293891084597,1.5519734977984005,0.16570704285586482
A,all,Crypto,short_yes,4,259,12603,189.0,173822164.02000058,1660178.0,-0.1336037356221591,0.4463184549739389,-0.29934620478546065
A,confirmation,Crypto,short_yes,4,131,8350,100.0,152490077.32000062,1440530.0,-0.20796020622018724,0.501795188503721,-0.4144324437232924
A,exploration,Crypto,short_yes,4,131,4253,92.0,21332086.7,219648.0,0.3979253224673951,0.6185513706830151,0.643318148382727
A,all,Economics,long_yes,0,209,749,189.0,2692066.410000001,8426.0,-2.107641731963717,0.30002590915563465,-7.024865745412687
A,confirmation,Economics,long_yes,0,139,556,125.0,1433631.0700000003,5753.0,-1.8819133989323693,0.4766273811930146,-3.9483954829071632
A,exploration,Economics,long_yes,0,81,195,74.0,1258435.3399999999,2673.0,-2.364795310957336,0.3022327064169608,-7.824418935304969
